link_name,precipitation_interaction_coefficient,total_precipitation_effect,p_value,std_err,significance
A11_W_SixMileBottom,-0.005327590371044668,-0.006137845723970526,0.0,0.00031349226753979074,***
A14M_N_J1_J2,-0.016861662660932097,-0.017671918013857955,0.0,0.000231234095995067,***
A14M_S_J2_J1,-0.004260369574955687,-0.005070624927881545,0.0,0.0002755666335867381,***
A14_E_J21_J23,-0.003776498540912627,-0.004586753893838485,0.0,0.00038623461869571836,***
A14_E_J23_J24,-0.004579682189032344,-0.005389937541958202,0.0,0.00034530779070858844,***
A14_E_J24_J25,-0.00038418604992873954,-0.0011944414028545979,0.26604429922364137,0.0003454232394037755,
A14_E_J31_J32,-0.021020316746359374,-0.021830572099285232,0.0,0.0002241045283150334,***
A14_W_J23_J21,0.0015323698620729304,0.0007221145091470721,1.367867361601327e-07,0.00029079918347316467,***
A14_W_J24_J23,-0.002312171708772973,-0.0031224270616988315,1.619659961704656e-11,0.00034321760864570804,***
A14_W_J25_J24,-0.012252038038440145,-0.013062293391366003,0.0,0.0003211362452820729,***
A14_W_J32_J31,-0.004556149455818759,-0.005366404808744617,0.0,0.0003034259080887053,***
A1M_N_Buckden,0.005966431147268623,0.005156175794342765,0.0,0.0003371231595552791,***
A1M_S_Buckden,0.002231609677552112,0.0014213543246262535,4.063416270128073e-14,0.00029523638629778726,***
A1_N_J14_J15,-0.0006026164968903614,-0.0014128718498162196,0.16511963976463706,0.00043414386208666714,
A1_N_Stilton,-0.007049184039146706,-0.007859439392072565,0.0,0.00029050059101378355,***
A1_S_J15_J14,-0.003961257709027801,-0.004771513061953659,0.0,0.0003916111625948394,***
A1_S_Stilton,-0.006790139260296695,-0.007600394613222553,0.0,0.0003012744491054066,***
A428_E_Caxton,-0.008473187099482977,-0.009283442452408835,0.0,0.0003358292699631612,***
A428_W_Caxton,-0.006981824452632251,-0.007792079805558109,0.0,0.00035370439524777726,***
A47_E_Peterborough,0.0009564809045765669,0.00014622555165070856,0.007730386049655369,0.00035909002898467865,**
A47_W_Wansford,0.00032221611385920983,-0.0004880392390666485,0.3118649149223982,0.00031861052034150457,
CambourneRd_E,0.006349605969699351,0.005539350616773493,0.0,0.00036637261309682684,***
CambourneRd_W,0.005158896495307104,0.004348641142381246,0.0,0.0002957885526587047,***
M11_N_J11_J12,0.002314958673914538,0.0015047033209886797,1.4911627488345403e-11,0.00034302001449149517,***
M11_N_J12_J13,-0.0024980988358172225,-0.003308354188743081,4.241051954068098e-14,0.000330738867169349,***
M11_N_J13_J14,-0.0021508368037327155,-0.002961092156658574,3.2507330161024584e-13,0.0002952999804057234,***
M11_S_J12_J11,-0.003701022040652291,-0.004511277393578149,0.0,0.00032093972053400275,***
M11_S_J13_J12,-0.005863072287766803,-0.006673327640692661,0.0,0.0002614287350385987,***
M11_S_J14_J13,-0.006211417194202215,-0.007021672547128073,0.0,0.0003754584699251343,***
