road_key,Number of lanes,Speed limit (mph),Length (m),Average daily flow,Average speed (mph),Average delay (spvpm),roundabout_count,bridge_count
A1,2.0552016985138004,65.85987261146497,1624.5886836518048,21661.256900212313,56.40501486199575,11.176462845010615,10.0,18.0
A11,2.0261096605744124,69.68668407310705,2243.8092167101827,19161.164490861618,61.342772845953,8.864159268929503,13.0,13.0
A12,2.1785714285714284,70.0,1762.8678125000001,27036.10714285714,57.11216517857143,12.85966517857143,0.0,0.0
A120,1.5922619047619047,61.30952380952381,1877.3004464285714,14834.547619047618,50.37553869047619,19.41830654761905,0.0,0.0
A1307,1.9642857142857142,67.85714285714286,1420.3965714285716,13457.542857142857,54.22913571428571,15.260185714285713,88.0,22.0
A14,2.2111716621253406,70.0,2106.1150000000002,24210.298365122617,61.754241144414166,7.304957765667575,30.0,34.0
A141,2.0,70.0,764.562,19425.52,48.55232,27.429319999999997,80.0,12.0
A1M,2.618279569892473,70.0,2373.9194623655917,27270.68817204301,65.05325806451613,4.539043010752688,18.0,8.0
A421,2.0396825396825395,70.0,2327.992936507937,23417.285714285714,63.21329365079365,6.583722222222222,0.0,0.0
A428,1.702970297029703,67.02970297029702,2661.994356435644,11365.089108910892,57.935732673267324,11.599425742574256,61.0,6.0
A45,1.8933333333333333,58.8,1849.1166666666666,19844.546666666665,46.54010666666667,21.733533333333334,0.0,0.0
A47,1.5984615384615384,64.12307692307692,2050.699184615385,13384.193846153847,51.665018461538466,16.04339076923077,19.0,1.0
A5,1.59,59.9,1429.2934000000005,13994.8,41.98128,32.690149999999996,0.0,0.0
M1,3.5526315789473686,70.0,2638.647894736842,61036.18421052631,54.21582456140351,16.042324561403507,0.0,0.0
M11,2.180722891566265,70.0,3604.7709638554215,31166.66265060241,60.50203614457831,8.610837349397592,2.0,23.0
